From,To,Price
Каттақурғон,Самарқанд,2000.0
Каттақурғон,карши,2500.0
Каттақурғон,шахрисабс,3000.0
Каттақурғон,термез,3000.0
Каттақурғон,денов,3000.0
Каттақурғон,навои,3000.0
Каттақурғон,зарафшон,3500.0
Каттақурғон,бухара,3500.0
Каттақурғон,гиждуван,3500.0
Каттақурғон,ургенч,6000.0
Каттақурғон,хива,6000.0
Каттақурғон,нукус,7000.0
Каттақурғон,мойнак,7000.0
Каттақурғон,кокон,7500.0
Қарши,Андижонга,4000.0
Қарши,Фарғона,3800.0
Қарши,Марғилон,3800.0
Қарши,Наманган,3500.0
Қарши,Поп,3600.0
Қарши,Тошкент,3000.0
Қарши,Сирдарё,2500.0
Қарши,Жиззах,2000.0
Қарши,Самарқанд,2000.0
Қарши,Каттақурғон,2500.0
Қарши,шахрисабс,2500.0
Қарши,термез,2500.0
Қарши,денов,2500.0
Қарши,навои,3000.0
Қарши,зарафшон,3000.0
Қарши,бухара,3000.0
Қарши,гиждуван,3000.0
Қарши,ургенч,6000.0
Қарши,хива,6000.0
Қарши,нукус,6000.0
Қарши,мойнак,6000.0
Қарши,кокон,6500.0
Шахрисабз,Андижонга,4000.0
Шахрисабз,Фарғона,3800.0
Шахрисабз,Марғилон,3800.0
Шахрисабз,Наманган,3600.0
Шахрисабз,Поп,3600.0
Шахрисабз,Тошкент,3000.0
Шахрисабз,Сирдарё,2500.0
Шахрисабз,Жиззах,2200.0
Шахрисабз,Самарқанд,2000.0
Шахрисабз,Каттақурғон,2000.0
Шахрисабз,Қарши,2000.0
Шахрисабз,термез,2500.0
Шахрисабз,денов,2500.0
Шахрисабз,навои,2500.0
Шахрисабз,зарафшон,3000.0
Шахрисабз,бухара,3000.0
Шахрисабз,гиждуван,3000.0
Шахрисабз,ургенч,5000.0
Шахрисабз,хива,5000.0
Шахрисабз,нукус,600.0
Шахрисабз,мойнак,600.0
Шахрисабз,кокон,6500.0
